Series 1: ,
139.9799058,15.82891194
264.9842612,24.3437203
314.2702724,27.92752217
361.845799,60.24113082
409.8302384,59.59277003
459.527835,80.32596215
507.7207396,88.36365616
557.2045257,100.1880741
,
Series 2: ,
138.6836791,11.81946864
263.9659883,31.9156834
313.8346334,59.77589484
362.4177423,84.07210168
410.610647,92.10979569
459.5224897,80.10324279
506.6169425,92.3721096
554.5105124,87.9375198
,
Series 3: ,
159.1266432,13.60963731
265.2461791,35.25696864
314.9277399,55.32200269
361.1108252,79.61721967
410.3006216,79.19207317
460.9951101,91.46242477
506.6864309,95.2674612
557.0815846,95.06552898
,
Series 4: ,
159.0197379,9.155250238
264.9735706,23.8982816
313.3535596,39.73115299
363.5589563,81.62268372
410.1242279,71.84233449
460.9149311,88.12163446
507.8116091,92.14988518
556.7234519,80.14333228
,
Series 5: ,
158.982321,7.596214761
264.7757959,15.65766551
313.7437639,55.98966582
361.8404538,60.01841147
411.7144441,88.10134226
460.9095858,87.89891511
507.8062639,91.92716582
555.8174295,92.39240181
,
Series 6: ,
157.7609281,6.704842414
266.3713573,32.13939262
314.4627019,35.94541891
362.9442509,56.00995803
411.4311451,76.2972165
459.6133592,83.88947181
510.3078476,96.15982341
557.1083109,96.17912575
,
Series 7: ,
138.7264412,13.60122347
265.647074,51.96092018
315.1362053,64.00805749
362.3322181,80.50859202
409.5068499,96.11824913
460.0035635,100.1479846
509.1024905,95.93660912
555.806739,91.9469631
,
Series 8: ,
138.7317865,13.82394283
265.5241329,46.83837504
314.1018966,70.91186253
364.7108608,79.61870447
410.3968364,83.20102154
459.6881929,87.00754276
507.8757523,94.82251742
555.6998337,87.49257602
